0.003233452493648;	0.004332934524871;	0.002625488438804;	0.002312638846416;
0.003168784286260;	0.004178798512597;	0.002445268489642;	0.002164490963012;
0.003047931362420;	0.004055472525006;	0.002264139608511;	0.002011789897077;
0.002935181384760;	0.003901275230946;	0.002092491583039;	0.001887104183135;
0.002872425598799;	0.003758434497980;	0.001942553153841;	0.001798885555972;
0.002699034303690;	0.003659071888714;	0.001803040940304;	0.001697268444530;
0.002871907088500;	0.003550990485019;	0.001671140597397;	0.001576005807388;
0.002758443361580;	0.003562686656680;	0.001551727631048;	0.001513003016300;
0.002613535112220;	0.003446329823230;	0.001454335883284;	0.001264289187833;
0.002477065983354;	0.003300966303798;	0.001365913992061;	0.001184152243135;
0.002357854472069;	0.003149970782239;	0.001277009181993;	0.001321878768089;
0.002232558426045;	0.003001627416779;	0.001191213851676;	0.001172962502797;
0.002120946894680;	0.002833623809539;	0.001103233976777;	0.000987690140453;
0.002013666449328;	0.002709217016372;	0.001013957190345;	0.000864458613852;
0.001903879634887;	0.002574909008770;	0.000921917270358;	0.000805393975892;
0.001803709547220;	0.002448252797318;	0.000843004323945;	0.000765853820792;
0.001709558441053;	0.002313173534232;	0.000776933091981;	0.000688032097599;
0.001647745319236;	0.002211522503850;	0.000712292187733;	0.000619952567850;
0.001563716012952;	0.002126560704714;	0.000651770431019;	0.000569235176498;
0.001513306744803;	0.002066615631875;	0.000599466427710;	0.000527783353597;
0.001407594559586;	0.002023106092690;	0.000550282850015;	0.000496231206025;
0.001511319062480;	0.001949706437501;	0.000512596691884;	0.000468992155527;
0.001434237728963;	0.001858618754696;	0.000484344663060;	0.000432477005510;
0.001336205351699;	0.001770161974613;	0.000450872631233;	0.000400870290601;
0.001260441650262;	0.001673837749477;	0.000414998130745;	0.000366300612733;
0.001162089044352;	0.001553046614619;	0.000377697276471;	0.000333092494938;
0.001089243540111;	0.001460417991794;	0.000342355565184;	0.000303009181929;
0.001017700846538;	0.001361469195967;	0.000309805308966;	0.000272122913119;
0.000950988581498;	0.001282186032835;	0.000277264842204;	0.000245304461396;
0.000879433009334;	0.001199257309231;	0.000249545448484;	0.000222390804229;
0.000816882746515;	0.001118081641677;	0.000226294429353;	0.000201197491664;
0.000772131216141;	0.001038788766435;	0.000202906191834;	0.000180552881849;
0.000715443215401;	0.000975719734414;	0.000183068317846;	0.000163498640923;
0.000673774823426;	0.000890457829699;	0.000167541107058;	0.000148371196333;
0.000635894619087;	0.000804499041450;	0.000150714905627;	0.000134871883108;
0.000590811185623;	0.000890889593719;	0.000138329798748;	0.000124155734027;
0.000536582494541;	0.000791873717272;	0.000130453943619;	0.000112771806886;
0.000484273617224;	0.000709343383650;	0.000116902878534;	0.000099914751468;
0.000439037437586;	0.000672272829434;	0.000103361919792;	0.000088396450191;
0.000384440179557;	0.000609738024937;	0.000092769687863;	0.000077872548934;
0.000342432953542;	0.000545348452997;	0.000081060921847;	0.000067399266762;
0.000305077467451;	0.000491451445603;	0.000070213072009;	0.000058473458246;
0.000264972714214;	0.000439001002955;	0.000061513764379;	0.000050780066572;
0.000221579705488;	0.000380528321843;	0.000052864118286;	0.000043301994138;
0.000182759278193;	0.000321287074333;	0.000043549834503;	0.000036053058757;
0.000140521011274;	0.000263103606227;	0.000034828642212;	0.000029266077596;
0.000103919797960;	0.000205262403479;	0.000027004598505;	0.000022789450550;
0.000069476196537;	0.000150088804938;	0.000020353648218;	0.000016780977556;
0.000042053133394;	0.000098958579551;	0.000013908205524;	0.000011346928633;
0.000022466112824;	0.000058087227020;	0.000008493933810;	0.000006899605972;
0.000010461961277;	0.000028360785400;	0.000004430539027;	0.000003616753004;
0.000005321570364;	0.000008546833919;	0.000001552371748;	0.000001426090606;
0.000002926311580;	0.000004784740895;	0.000000692339222;	0.000000700791332;
0.000001667249831;	0.000002406311570;	0.000000354351651;	0.000000375276223;
0.000000739831108;	0.000001092527644;	0.000000165818817;	0.000000181021811;
0.000000308516381;	0.000000458220342;	0.000000070754727;	0.000000079780824;
0.000000123080791;	0.000000182489368;	0.000000028222507;	0.000000032754551;
0.000000047507408;	0.000000068175907;	0.000000010395721;	0.000000012363944;
0.000000017468786;	0.000000024530867;	0.000000003581545;	0.000000004250634;
0.000000006019331;	0.000000007922252;	0.000000001114229;	0.000000001301199;
0.000000001829770;	0.000000002300641;	0.000000000313327;	0.000000000347714;
0.000000000460895;	0.000000000580370;	0.000000000078715;	0.000000000080370;
0.000000000082311;	0.000000000112351;	0.000000000014957;	0.000000000013864;
0.000000000010366;	0.000000000013077;	0.000000000002081;	0.000000000001768;
0.000000000001010;	0.000000000001315;	0.000000000000228;	0.000000000000183;
0.000000000000088;	0.000000000000112;	0.000000000000020;	0.000000000000016;
0.000000000000011;	0.000000000000013;	0.000000000000002;	0.000000000000002;
0.000000000000004;	0.000000000000005;	0.000000000000000;	0.000000000000000;
0.000000000000003;	0.000000000000002;	0.000000000000000;	0.000000000000000;
0.000000000000002;	0.000000000000002;	0.000000000000000;	0.000000000000000;
0.000000000000001;	0.000000000000001;	0.000000000000000;	0.000000000000000;
0.000000000000001;	0.000000000000001;	0.000000000000000;	0.000000000000000;
0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;
0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;
